gene	chrom	start	end	strand	mapq	identity	alnlen	matched_aa	protein_aa	pct_aligned	source
ADE17	CP132592.1	3492438	3494207	+	0	1.000	1767	589	589	100.0	miniprot
ALS4	CP132586.1	918928	924270	+	0	0.937	5451	1795	1795	100.0	miniprot
CDR1	CP132587.1	481904	486313	+	0	0.995	4407	1469	1469	100.0	miniprot
CIS2	CP132586.1	76384	78144	+	0	0.983	1758	586	586	100.0	miniprot
ERG11	CP132588.1	215842	217416	+	0	0.990	1572	524	524	100.0	miniprot
ERG2	CP132590.1	1331514	1332170	-	0	1.000	654	218	218	100.0	miniprot
ERG3	CP132592.1	834718	835809	+	0	1.000	1089	363	363	100.0	miniprot
ERG6	CP132592.1	2659033	2660421	+	0	1.000	1386	462	462	100.0	miniprot
FCY1	CP132590.1	340639	341139	-	0	0.987	450	150	150	100.0	miniprot
FKS1	CP132589.1	2110312	2115978	-	0	0.999	5664	1888	1888	100.0	miniprot
FLO8	CP132589.1	843087	845546	-	0	0.957	2463	821	821	100.0	miniprot
FUR1	CP132592.1	3671299	3671958	-	0	0.986	657	219	219	100.0	miniprot
HMG1	CP132592.1	1922050	1925109	-	0	0.995	3057	1019	1019	100.0	miniprot
MEC3	CP132592.1	2175323	2176285	-	0	0.991	960	320	320	100.0	miniprot
MRR1	CP132590.1	888121	890970	+	0	0.988	2847	949	949	100.0	miniprot
NCP1	CP132590.1	916090	916938	+	0	1.000	846	282	282	100.0	miniprot
PEA2	CP132588.1	418185	419807	-	0	0.974	1620	540	540	100.0	miniprot
SCF1	CP132588.1	1227983	1228885	+	0	0.983	900	300	300	100.0	miniprot
SIT1	CP132592.1	4122854	4124707	+	0	0.977	1851	617	617	100.0	miniprot
TAC1B	CP132591.1	817709	820315	+	0	0.968	2604	868	868	100.0	miniprot
UPC2	CP132589.1	581309	583162	-	0	0.987	1851	617	617	100.0	miniprot
