gene	chrom	start	end	strand	mapq	identity	alnlen	matched_aa	protein_aa	pct_aligned	source
ADE17	CP050673.1	678417	680186	-	0	0.998	1767	589	589	100.0	miniprot
ALS4	CP050678.1	30881	36046	-	0	0.917	5385	1795	1795	100.0	miniprot
CDR1	CP050679.1	363163	367572	-	0	0.988	4407	1469	1469	100.0	miniprot
CIS2	CP050678.1	884298	886058	-	0	0.976	1758	586	586	100.0	miniprot
ERG11	CP050675.1	1496482	1498056	-	0	0.992	1572	524	524	100.0	miniprot
ERG2	CP050676.1	139162	139818	+	0	0.995	654	218	218	100.0	miniprot
ERG3	CP050673.1	3335801	3336892	-	0	0.992	1089	363	363	100.0	miniprot
ERG6	CP050673.1	1510598	1511986	-	0	0.998	1386	462	462	100.0	miniprot
FCY1	CP050676.1	1128147	1128647	+	0	0.973	450	150	150	100.0	miniprot
FKS1	CP050674.1	224642	230308	+	0	0.998	5664	1888	1888	100.0	miniprot
FLO8	CP050674.1	1518748	1521213	+	0	0.947	2469	821	821	100.0	miniprot
FUR1	CP050673.1	500697	501356	+	0	0.977	657	219	219	100.0	miniprot
HMG1	CP050673.1	2240327	2243386	+	0	0.989	3057	1019	1019	100.0	miniprot
MEC3	CP050673.1	1991895	1992857	+	0	0.981	960	320	320	100.0	miniprot
MRR1	CP050676.1	579512	582361	-	0	0.985	2847	949	949	100.0	miniprot
NCP1	CP050676.1	553508	554356	-	0	1.000	846	282	282	100.0	miniprot
PEA2	CP050675.1	1288961	1290583	+	0	0.963	1620	540	540	100.0	miniprot
SCF1	CP050675.1	483295	484197	-	0	0.957	900	300	300	100.0	miniprot
SIT1	CP050673.1	49437	51290	-	0	0.950	1851	617	617	100.0	miniprot
TAC1B	CP050677.1	813521	816127	+	0	0.956	2604	868	868	100.0	miniprot
UPC2	CP050674.1	1780234	1782087	+	0	0.984	1851	617	617	100.0	miniprot
