gene	chrom	start	end	strand	mapq	identity	alnlen	matched_aa	protein_aa	pct_aligned	source
ADE17	CM076438.1	678584	680353	-	0	1.000	1767	589	589	100.0	miniprot
ALS4	CM076443.1	41881	47268	-	0	0.994	5385	1795	1795	100.0	miniprot
CDR1	CM076444.1	479360	483769	+	0	0.995	4407	1469	1469	100.0	miniprot
CIS2	CM076443.1	887852	889612	-	0	0.973	1758	586	586	100.0	miniprot
ERG11	CM076440.1	1474722	1476296	-	0	0.998	1572	524	524	100.0	miniprot
ERG2	CM076441.1	110555	111211	+	0	0.995	654	218	218	100.0	miniprot
ERG3	CM076438.1	3328722	3329813	-	0	1.000	1089	363	363	100.0	miniprot
ERG6	CM076438.1	1511317	1512705	-	0	1.000	1386	462	462	100.0	miniprot
FCY1	CM076441.1	1098591	1099091	+	0	0.993	450	150	150	100.0	miniprot
FKS1	CM076439.1	2088186	2093852	-	0	0.999	5664	1888	1888	100.0	miniprot
FLO8	CM076439.1	820072	822546	-	0	0.960	2472	821	821	100.0	miniprot
FUR1	CM076438.1	500789	501448	+	0	0.991	657	219	219	100.0	miniprot
HMG1	CM076438.1	2234581	2237640	+	0	0.994	3057	1019	1019	100.0	miniprot
MEC3	CM076438.1	1986532	1987494	+	0	0.994	960	320	320	100.0	miniprot
MRR1	CM076441.1	550105	552954	-	0	0.989	2847	949	949	100.0	miniprot
NCP1	CM076441.1	524079	524927	-	0	1.000	846	282	282	100.0	miniprot
PEA2	CM076440.1	1272442	1274064	+	0	0.976	1620	540	540	100.0	miniprot
SCF1	CM076440.1	470312	471214	-	0	0.997	900	300	300	100.0	miniprot
SIT1	CM076438.1	48312	50165	-	0	0.994	1851	617	617	100.0	miniprot
TAC1B	CM076442.1	814778	817384	+	0	0.982	2604	868	868	100.0	miniprot
UPC2	CM076439.1	559588	561441	-	0	0.990	1851	617	617	100.0	miniprot
