gene	chrom	start	end	strand	mapq	identity	alnlen	matched_aa	protein_aa	pct_aligned	source
ADE17	CP043531.1	665786	667555	-	0	1.000	1767	589	589	100.0	miniprot
ALS4	CP043537.1	6828	12146	-	0	0.968	5385	1795	1795	100.0	miniprot
CDR1	CP043536.1	719137	723546	+	0	0.995	4407	1469	1469	100.0	miniprot
CIS2	CP043537.1	843384	845144	-	0	0.993	1758	586	586	100.0	miniprot
ERG11	CP043531.1	2581644	2583218	+	0	0.998	1572	524	524	100.0	miniprot
ERG2	CP043534.1	123869	124525	+	0	1.000	654	218	218	100.0	miniprot
ERG3	CP043532.1	1756871	1757962	-	0	1.000	1089	363	363	100.0	miniprot
ERG6	CP043531.1	1496367	1497755	-	0	1.000	1386	462	462	100.0	miniprot
FCY1	CP043534.1	1108168	1108668	+	0	0.993	450	150	150	100.0	miniprot
FKS1	CP043531.1	2928843	2934509	-	0	0.999	5664	1888	1888	100.0	miniprot
FLO8	CP043531.1	2373395	2375860	-	0	0.974	2463	821	821	100.0	miniprot
FUR1	CP043531.1	488271	488930	+	0	0.995	657	219	219	100.0	miniprot
HMG1	CP043532.1	660973	664032	+	0	0.998	3057	1019	1019	100.0	miniprot
MEC3	CP043532.1	413634	414596	+	0	0.994	960	320	320	100.0	miniprot
MRR1	CP043534.1	561420	564269	-	0	0.989	2847	949	949	100.0	miniprot
NCP1	CP043534.1	535467	536315	-	0	1.000	846	282	282	100.0	miniprot
PEA2	CP043531.1	2783628	2785250	-	0	0.978	1620	540	540	100.0	miniprot
SCF1	CP043533.1	450999	451901	-	0	0.990	900	300	300	100.0	miniprot
SIT1	CP043531.1	37403	39256	-	0	0.966	1851	617	617	100.0	miniprot
TAC1B	CP043535.1	140264	142869	-	0	0.979	2604	868	868	100.0	miniprot
UPC2	CP043531.1	2113105	2114958	-	0	0.990	1851	617	617	100.0	miniprot
