strain	n_total	n_found	n_missing	missing	ref
CaurisIII_B11221	21	21	0		/home/asanzc/0epicandi/v1.7/02_OUTPUT/CaurisIII_B11221/reference.fasta
CaurisII_B11220	21	21	0		/home/asanzc/0epicandi/v1.7/02_OUTPUT/CaurisII_B11220/reference.fasta
CaurisIV_B11245	21	21	0		/home/asanzc/0epicandi/v1.7/02_OUTPUT/CaurisIV_B11245/reference.fasta
CaurisI_B8441	21	21	0		/home/asanzc/0epicandi/v1.7/02_OUTPUT/CaurisI_B8441/reference.fasta
CaurisVI_F3485	21	21	0		/home/asanzc/0epicandi/v1.7/02_OUTPUT/CaurisVI_F3485/reference.fasta
CaurisV_IFRC2087	21	21	0		/home/asanzc/0epicandi/v1.7/02_OUTPUT/CaurisV_IFRC2087/reference.fasta
