gene	chrom	start	end	strand	mapq	identity	alnlen	matched_aa	protein_aa	pct_aligned	source
ADE17	CP043442.1	3498896	3500665	+	0	1.000	1767	589	589	100.0	miniprot
ALS4	CP043447.1	922394	927720	+	0	0.930	5451	1795	1795	100.0	miniprot
CDR1	CP043448.1	473674	478083	+	0	0.994	4407	1469	1469	100.0	miniprot
CIS2	CP043447.1	77843	79599	+	0	0.968	1758	586	586	100.0	miniprot
ERG11	CP043444.1	1565577	1567151	-	0	0.990	1572	524	524	100.0	miniprot
ERG2	CP043445.1	1327207	1327860	-	0	0.991	654	218	218	100.0	miniprot
ERG3	CP043442.1	816058	817149	+	0	0.997	1089	363	363	100.0	miniprot
ERG6	CP043442.1	2653598	2654986	+	0	1.000	1386	462	462	100.0	miniprot
FCY1	CP043445.1	330832	331332	-	0	0.980	450	150	150	100.0	miniprot
FKS1	CP043443.1	2096957	2102623	-	0	0.999	5664	1888	1888	100.0	miniprot
FLO8	CP043443.1	824611	827070	-	0	0.957	2463	821	821	100.0	miniprot
FUR1	CP043442.1	3678502	3679161	-	0	0.986	657	219	219	100.0	miniprot
HMG1	CP043442.1	1906954	1910013	-	0	0.994	3057	1019	1019	100.0	miniprot
MEC3	CP043442.1	2164111	2165073	-	0	0.991	960	320	320	100.0	miniprot
MRR1	CP043445.1	880026	882875	+	0	0.988	2847	949	949	100.0	miniprot
NCP1	CP043445.1	907954	908802	+	0	1.000	846	282	282	100.0	miniprot
PEA2	CP043444.1	1363991	1365611	+	0	0.972	1621	540	540	100.0	miniprot
SCF1	CP043444.1	555492	556394	-	0	0.987	900	300	300	100.0	miniprot
SIT1	CP043442.1	4134820	4136672	+	0	0.968	1851	617	617	100.0	miniprot
TAC1B	CP043446.1	804171	806753	+	0	0.969	2583	861	868	99.2	miniprot
UPC2	CP043443.1	556822	558675	-	0	0.989	1851	617	617	100.0	miniprot
