gene	chrom	start	end	strand	mapq	identity	alnlen	matched_aa	protein_aa	pct_aligned	source
ADE17	CP126632.2	3477885	3479654	+	0	1.000	1767	589	589	100.0	miniprot
ALS4	CP126639.2	41032	46446	-	0	0.970	5418	1795	1795	100.0	miniprot
CDR1	CP126637.2	302347	306756	-	0	0.994	4407	1469	1469	100.0	miniprot
CIS2	CP126639.2	879768	881528	-	0	0.978	1758	586	586	100.0	miniprot
ERG11	CP126635.2	1343234	1344808	-	0	0.994	1572	524	524	100.0	miniprot
ERG2	CP126636.2	1325077	1325733	-	0	1.000	654	218	218	100.0	miniprot
ERG3	CP126632.2	831423	832514	+	0	1.000	1089	363	363	100.0	miniprot
ERG6	CP126632.2	2643415	2644803	+	0	1.000	1386	462	462	100.0	miniprot
FCY1	CP126636.2	337895	338395	-	0	0.993	450	150	150	100.0	miniprot
FKS1	CP126633.2	2114944	2120610	-	0	0.999	5664	1888	1888	100.0	miniprot
FLO8	CP126633.2	849359	851831	-	0	0.960	2470	821	821	100.0	miniprot
FUR1	CP126632.2	3656688	3657347	-	0	0.986	657	219	219	100.0	miniprot
HMG1	CP126632.2	1919194	1922253	-	0	0.996	3057	1019	1019	100.0	miniprot
MEC3	CP126632.2	2169104	2170066	-	0	0.994	960	320	320	100.0	miniprot
MRR1	CP126636.2	883437	886286	+	0	0.989	2847	949	949	100.0	miniprot
NCP1	CP126636.2	911440	912288	+	0	1.000	846	282	282	100.0	miniprot
PEA2	CP126635.2	1140833	1142455	+	0	0.974	1620	540	540	100.0	miniprot
SCF1	CP126635.2	339287	340189	-	0	0.993	900	300	300	100.0	miniprot
SIT1	CP126635.2	48153	50006	-	0	0.987	1851	617	617	100.0	miniprot
TAC1B	CP126638.2	189545	192145	-	0	0.956	2604	868	868	100.0	miniprot
UPC2	CP126633.2	588984	590837	-	0	0.990	1851	617	617	100.0	miniprot
