gene	n_candidates	selected_accession	method	length_aa	description	all_candidates
ERG11	1	XP_028891800.2	keyword:sterol\s+14[\-\s]*(?:alpha[\-\...	524	sterol 14-demethylase	XP_028891800.2(keyword:sterol\s+14[\-\s]*(?:alpha[\-\...)
TAC1B	1	KAK8439229.1	locus_tag_panel_tsv	868	hypothetical protein B9J08_004820 (B8441)	KAK8439229.1(locus_tag_panel_tsv)
FKS1	1	XP_028893355.2	keyword:1[,\s]*3[\-\s]*beta[\-\s]*gluc...	1888	1,3-beta-glucan synthase	XP_028893355.2(keyword:1[,\s]*3[\-\s]*beta[\-\s]*gluc...)
CDR1	2	XP_028891589.2	keyword:pleiotropic\s+drug\s+resistanc...	1469	pleiotropic drug resistance family ABC transporter	XP_028891589.2(keyword:pleiotropic\s+drug\s+resistanc...); XP_028892864.2(keyword:pleiotropic\s+drug\s+resistanc...)
ERG3	1	XP_028891029.1	keyword:c[\-\s]*5\s+sterol\s+desaturas...	363	C-5 sterol desaturase	XP_028891029.1(keyword:c[\-\s]*5\s+sterol\s+desaturas...)
ERG6	2	XP_028890162.1	keyword:delta.*24.*sterol	462	delta(24(24(1)))-sterol reductase	XP_028890162.1(keyword:delta.*24.*sterol); XP_028888412.1(keyword:sterol\s+24[\-\s]*c[\-\s]*meth...)
NCP1	2	XP_028888218.1	alias_in_desc:POR1	282	porin POR1	XP_028888218.1(alias_in_desc:POR1); XP_028892273.1(alias_in_desc:CPR1)
HMG1	1	XP_028890531.2	exact_in_desc	1019	hydroxymethylglutaryl-CoA reductase (NADPH) HMG1	XP_028890531.2(exact_in_desc)
UPC2	1	XP_028892667.1	exact_in_desc	617	Upc2p	XP_028892667.1(exact_in_desc)
MRR1	1	XP_028888235.1	alias_in_desc:MRR2	949	Mrr2p	XP_028888235.1(alias_in_desc:MRR2)
ERG2	1	XP_028888031.1	exact_in_desc	218	C-8 sterol isomerase ERG2	XP_028888031.1(exact_in_desc)
FUR1	2	XP_028889687.2	alias_in_desc:URA10	219	orotate phosphoribosyltransferase URA10	XP_028889687.2(alias_in_desc:URA10); XP_028891356.1(keyword:uracil\s+phosphoribosyltransfe...)
FCY1	1	XP_028888467.1	keyword:cytosine\s+deaminase	150	cytosine deaminase	XP_028888467.1(keyword:cytosine\s+deaminase)
CIS2	2	XP_028889376.2	alias_in_desc:ECM38	586	Ecm38p	XP_028889376.2(alias_in_desc:ECM38); XP_028890539.2(keyword:gamma[\-\s]*glutamyltransferas...)
ALS4	1	KAK8438519.1	locus_tag_panel_tsv	1795	hypothetical protein B9J08_004112 (B8441)	KAK8438519.1(locus_tag_panel_tsv)
SCF1	1	KAK8440136.1	locus_tag_panel_tsv	300	hypothetical protein B9J08_002161 (B8441)	KAK8440136.1(locus_tag_panel_tsv)
SIT1	1	KAK8441709.1	locus_tag_panel_tsv	617	hypothetical protein B9J08_001550 (B8441)	KAK8441709.1(locus_tag_panel_tsv)
PEA2	1	XP_028891891.2	exact_in_desc	540	Pea2p	XP_028891891.2(exact_in_desc)
MEC3	1	XP_028890414.1	exact_in_desc	320	Mec3p	XP_028890414.1(exact_in_desc)
FLO8	1	XP_028892793.2	exact_in_desc	821	Flo8p	XP_028892793.2(exact_in_desc)
ADE17	1	XP_028889775.1	keyword:phosphoribosylaminoimidazoleca...	589	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclo	XP_028889775.1(keyword:phosphoribosylaminoimidazoleca...)
