tag	sylph_slug	fasta_path	mask_bed_path	ploidy	genetic_code	clade	is_auris	genome_size_bp	ncbi_organism	reference_strain	chroquetas_species	chroquetas_genes	has_chroquetas	n_chroquetas_genes	notes
Calbicans_SC5314	Calbicans_SC5314	/almacenamiento/PIPELINES/epicandi/resources/references/Calbicans_SC5314/reference.fasta	/almacenamiento/PIPELINES/epicandi/resources/references/Calbicans_SC5314/mask.bed	2	12	-	false	14282666	Candida albicans SC5314	SC5314	Candida_albicans	Cap1,Cdr1,Cyp51,Erg3,Fur1,Mrr1,Mrr2,Rta2,Squalene_epoxidase,Tac1,Upc2	true	11	CGD reference; most studied AMR panel
CaurisI_B8441	cladeI_B8441	/almacenamiento/PIPELINES/epicandi/resources/references/CaurisI_B8441/reference.fasta	/almacenamiento/PIPELINES/epicandi/resources/references/CaurisI_B8441/mask.bed	1	1	I	true	12406600	Candidozyma auris	B8441	Candidozyma_auris	Cyp51,Erg10,Erg12,Erg3,Erg6,Fks,Fur1,Hmg1,Ncp1,Tac1	true	10	Clade I (Pakistan/India); ref snpEff
CaurisII_B11220	cladeII_B11220	/almacenamiento/PIPELINES/epicandi/resources/references/CaurisII_B11220/reference.fasta	/almacenamiento/PIPELINES/epicandi/resources/references/CaurisII_B11220/mask.bed	1	1	II	true	12249773	Candidozyma auris	B11220	Candidozyma_auris	Cyp51,Erg10,Erg12,Erg3,Erg6,Fks,Fur1,Hmg1,Ncp1,Tac1	true	10	Clade II (Japon); ref snpEff
CaurisIII_B11221	cladeIII_B11221	/almacenamiento/PIPELINES/epicandi/resources/references/CaurisIII_B11221/reference.fasta	/almacenamiento/PIPELINES/epicandi/resources/references/CaurisIII_B11221/mask.bed	1	1	III	true	12403051	Candidozyma auris	B11221	Candidozyma_auris	Cyp51,Erg10,Erg12,Erg3,Erg6,Fks,Fur1,Hmg1,Ncp1,Tac1	true	10	Clade III (Sudafrica)
CaurisIV_B11245	cladeIV_B11245	/almacenamiento/PIPELINES/epicandi/resources/references/CaurisIV_B11245/reference.fasta	/almacenamiento/PIPELINES/epicandi/resources/references/CaurisIV_B11245/mask.bed	1	1	IV	true	12431639	Candidozyma auris	B11245	Candidozyma_auris	Cyp51,Erg10,Erg12,Erg3,Erg6,Fks,Fur1,Hmg1,Ncp1,Tac1	true	10	Clade IV (Venezuela); primary ref clade IV
CaurisV_IFRC2087	cladeV_B18474	/almacenamiento/PIPELINES/epicandi/resources/references/CaurisV_IFRC2087/reference.fasta	/almacenamiento/PIPELINES/epicandi/resources/references/CaurisV_IFRC2087/mask.bed	1	1	V	true	12461526	Candidozyma auris	IFRC2087	Candidozyma_auris	Cyp51,Erg10,Erg12,Erg3,Erg6,Fks,Fur1,Hmg1,Ncp1,Tac1	true	10	Clade V (Iran); emergente 2018 | WARN: chroquetas panel copied from cladeV_B18474 (strain differs from IFRC2087)
CaurisVI_F3485	cladeVI_F3485	/almacenamiento/PIPELINES/epicandi/resources/references/CaurisVI_F3485/reference.fasta	/almacenamiento/PIPELINES/epicandi/resources/references/CaurisVI_F3485/mask.bed	1	1	VI	true	12462762	Candidozyma auris	F3485	Candidozyma_auris	Cyp51,Erg10,Erg12,Erg3,Erg6,Fks,Fur1,Hmg1,Ncp1,Tac1	true	10	Clade VI (Singapur); descrito 2024
Cdubliniensis_CD36	Cdubliniensis_CD36	/almacenamiento/PIPELINES/epicandi/resources/references/Cdubliniensis_CD36/reference.fasta	/almacenamiento/PIPELINES/epicandi/resources/references/Cdubliniensis_CD36/mask.bed	2	12	-	false	14618422	Candida dubliniensis CD36	CD36	Candida_dubliniensis	Cyp51,Erg3,Fcy1,Fks	true	4	
Clusitaniae_P1	Clusitaniae_FDAARGOS_655	/almacenamiento/PIPELINES/epicandi/resources/references/Clusitaniae_P1/reference.fasta	/almacenamiento/PIPELINES/epicandi/resources/references/Clusitaniae_P1/mask.bed	1	12	-	false	12081832	Clavispora lusitaniae	P1	Clavispora_lusitaniae	Fcy1,Fcy2,Fks	true	3	Resistencia intrinseca a anfotericina B | WARN: chroquetas panel copied from Clusitaniae_FDAARGOS_655 (strain differs from P1)
Cparapsilosis_CDC317	Cparapsilosis_CDC317	/almacenamiento/PIPELINES/epicandi/resources/references/Cparapsilosis_CDC317/reference.fasta	/almacenamiento/PIPELINES/epicandi/resources/references/Cparapsilosis_CDC317/mask.bed	2	12	-	false	13125940	Candida parapsilosis	CDC317	Candida_parapsilosis	Cyp51,Erg3,Fks,Mrr1	true	4	Y132F en ERG11 (Cyp51) = brote azol-R
